observation_noise_std,strategy,inventory_skew,base_spread,num_steps,num_trials,risk_penalty,uncertainty_sensitivity,volatility_window,price_process,random_walk_step_size,brownian_drift,brownian_volatility,dt,avg_pnl,std_pnl,avg_risk_adjusted_score,avg_total_fills,avg_abs_final_inventory,avg_max_abs_inventory,avg_abs_inventory,avg_abs_observation_error,avg_effective_spread,avg_estimated_uncertainty
0.0,fixed,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,10.621001481823756,6.0962385766354865,-4.2179145181762445,220.738,10.934,17.026,7.419458,0.0,0.09999999999999859,0.019610328798912738
0.0,inventory_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,11.06856114952914,2.1342670722260397,5.98996914952914,223.382,2.562,7.996,2.5392959999999998,0.0,0.09999999999999859,0.01962655126196779
0.0,uncertainty_aware,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,9.95021114932512,4.806238174766984,-1.1838688506748778,122.29,8.198,12.53,5.5670399999999995,0.0,0.1589110419690282,0.019637013989676065
0.0,inventory_and_uncertainty_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,9.77672874290881,2.291849489647036,4.64169674290881,123.594,2.726,7.276,2.567516,0.0,0.15881138765399183,0.019603795884663943
0.01,fixed,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,10.895329722870803,6.032610967779715,-3.8969422771291975,225.464,10.936,16.916,7.396136,0.007955870586840276,0.09999999999999859,0.024111363008965433
0.01,inventory_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,10.8364469432055,2.0754255920420617,5.770446943205498,227.91,2.738,7.93,2.533,0.007975409870006117,0.09999999999999859,0.024057419782039416
0.01,uncertainty_aware,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,9.109875681490106,4.8760373089533,-1.6788243185098934,109.998,8.026,12.212,5.39435,0.007980200167022026,0.17237799876276383,0.024125999587587946
0.01,inventory_and_uncertainty_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,9.27318582083515,2.3283719196077906,4.19257382083515,110.58,2.848,7.232,2.540306,0.007988557592287398,0.17234842336184542,0.02411614112061514
0.03,fixed,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,8.663055976146985,5.99749962657697,-6.660432023853016,255.006,11.846,17.982,7.661744,0.02390085057846789,0.09999999999999859,0.04631197528545156
0.03,inventory_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,8.401876195676317,2.4687919867586516,2.9182721956763165,256.58,2.832,8.758,2.7418020000000003,0.023928011331685248,0.09999999999999859,0.04638797532222437
0.03,uncertainty_aware,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,6.443427451532771,3.6603844428896037,-2.2440685484672294,66.222,6.634,9.714,4.343748,0.02390935402928751,0.23900561866343223,0.04633520622114407
0.03,inventory_and_uncertainty_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,6.734660430046816,2.0969791846424095,1.7552484300468163,67.506,2.706,6.404,2.489706,0.023949017753210337,0.2391912715015715,0.04639709050052383
0.05,fixed,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,5.0801839314088255,6.99418858469619,-12.109748068591173,277.912,12.504,19.814,8.594966000000001,0.03988408050494941,0.09999999999999859,0.07259513259526734
0.05,inventory_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,4.529206003795327,2.7710993303235556,-1.795201996204673,277.15,3.422,9.828,3.162204,0.03992694947664334,0.09999999999999859,0.0726851698458191
0.05,uncertainty_aware,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,4.602407610315554,3.070928507580447,-2.3699083896844457,42.352,5.14,7.638,3.486158,0.03986139764710164,0.3177748738868353,0.07259162462894508
0.05,inventory_and_uncertainty_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,4.518243285443297,2.1904189927993367,-0.20658871455670383,42.576,2.728,5.676,2.362416,0.03983135652890351,0.3178900934548974,0.07263003115163247
0.1,fixed,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,-7.185061967087067,7.049993927912061,-24.713525967087065,293.346,12.886,20.246,8.764232,0.07970652270697991,0.09999999999999859,0.14115878969068066
0.1,inventory_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,-7.201488089249687,3.3448931198710277,-15.357404089249687,294.432,4.744,11.828,4.077958,0.07988079976363689,0.09999999999999859,0.14123125509159087
0.1,uncertainty_aware,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,0.02,1.0,1.8404157824008571,2.1813868887673453,-3.284884217599143,21.206,3.798,5.368,2.56265,0.07989218528629054,0.5248361132939141,0.14161203776463802
