base_spread,inventory_skew,uncertainty_sensitivity,strategy,num_steps,num_trials,risk_penalty,price_process,random_walk_step_size,brownian_drift,brownian_volatility,dt,observation_noise_std,volatility_window,avg_pnl,std_pnl,avg_risk_adjusted_score,avg_total_fills,avg_abs_final_inventory,avg_max_abs_inventory,avg_abs_inventory,avg_abs_observation_error,avg_effective_spread,avg_estimated_uncertainty
0.15,0.004,0.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.907772167878747,1.6635842868057944,5.087902167878747,162.89,1.88,6.15,1.9099350000000002,0.023906334460894064,0.15000000000000283,0.04643214424015224
0.05,0.004,2.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.984514412144916,1.8981374100565187,5.051314412144916,174.6,1.9,6.245,1.9666,0.0239217683778617,0.1428586962354495,0.04642934811772474
0.1,0.004,1.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.892354344539552,1.798834331939582,5.028254344539551,165.875,2.085,6.295,1.93205,0.023957809690724977,0.14648251113959268,0.04648251113959267
0.1,0.004,2.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.186632855765813,1.6938257781374335,4.460762855765814,106.26,1.78,5.77,1.862935,0.023941683835015125,0.19276014101214653,0.04638007050607327
0.1,0.004,0.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.396738990665854,1.829246755714376,4.442558990665854,259.64,1.94,6.745,1.97709,0.0239487693760577,0.09999999999999859,0.046344068896333315
0.15,0.004,1.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.071576443118808,1.6934211989790025,4.340816443118808,103.165,1.965,5.785,1.86538,0.023956563787695378,0.19634240987687643,0.04634240987687645
0.05,0.004,3.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.070463693205758,1.828293683330301,4.313853693205758,112.305,1.865,5.765,1.8783050000000001,0.023963705713959085,0.18884667050061732,0.04628222350020578
0.2,0.004,0.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,7.910806890209757,1.7400829930155233,4.258266890209757,99.7,1.86,5.585,1.82627,0.023937557648490614,0.19999999999999718,0.046294177010431516
0.05,0.004,1.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.220604261457003,1.719557490076455,4.246114261457002,264.37,1.98,6.93,1.9872450000000002,0.023883116791452063,0.09628066841662035,0.04628066841662035
0.1,0.002,1.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,9.223491490559208,2.18148999165696,3.9294314905592085,166.405,2.705,7.865,2.6470299999999995,0.023873399213893184,0.146256634256511,0.046256634256511005
0.15,0.002,0.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,9.051120198877166,2.2595078465960348,3.6046001988771668,161.72,2.83,7.98,2.7232600000000002,0.02389274114992065,0.15000000000000283,0.04626633428182554
0.05,0.002,2.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.771269444376898,2.2177687972560993,3.5197194443768973,171.69,2.66,7.77,2.625775,0.02393592931584874,0.14262477675544374,0.04631238837772187
0.1,0.002,2.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.642358398548996,2.2473588223048857,3.4199183985489956,106.165,2.955,7.235,2.6112200000000003,0.023994424512052016,0.19274030759308805,0.04637015379654402
0.1,0.004,3.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,6.784666489614734,1.7587767149860332,3.0905364896147347,68.015,1.875,5.37,1.847065,0.02393340134713692,0.23890781776071493,0.046302605920238306
0.1,0.002,0.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.566427558209275,2.2927477476360565,3.064897558209275,256.175,2.805,8.645,2.750765,0.02392005683564297,0.09999999999999859,0.046407139275403804
0.15,0.004,2.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,6.50183806184681,1.5816268532040203,2.95320806184681,64.675,1.835,5.065,1.774315,0.02385777814959586,0.24266853297431756,0.04633426648715879
0.15,0.002,1.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,7.966130293947463,1.9206067278278778,2.9129702939474633,101.52,2.9,7.105,2.52658,0.023947271692356786,0.19636317767238798,0.04636317767238795
0.2,0.004,1.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,6.47140567286955,1.6587227908077762,2.8871856728695504,62.11,2.07,5.16,1.79211,0.023950766503053583,0.24642050673992366,0.046420506739923637
0.2,0.002,0.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.048072767891641,2.5044847851313135,2.8478427678916414,99.16,2.72,7.17,2.600115,0.02389150914651412,0.19999999999999718,0.04623665157937827
0.05,0.002,1.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.393353140415677,2.520720283457368,2.8445231404156766,266.365,2.815,8.745,2.7744150000000003,0.02400143918561937,0.0964708464660445,0.046470846466044484
0.05,0.002,3.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.13263829666152,2.305656296896517,2.8383982966615195,109.85,3.14,7.375,2.6471199999999997,0.02394852355213409,0.18882563853676315,0.04627521284558771
0.05,0.001,2.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,9.325258348957137,3.2575621539163313,2.0605583489571355,170.885,4.035,9.78,3.63235,0.023978811044068543,0.14286959297667237,0.04643479648833618
0.2,0.002,1.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,6.5033047891327875,2.028918439801881,1.980714789132787,61.81,2.61,6.01,2.261295,0.023966867359767732,0.24646303712735562,0.04646303712735561
0.1,0.001,2.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,8.459844890822732,2.6032218883357627,1.977994890822732,105.46,3.6,8.4,3.240925,0.023949906411596583,0.19288564447471032,0.04644282223735516
0.05,0.004,5.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,5.526158302992202,1.6687462780862614,1.954148302992202,46.15,1.98,4.825,1.786005,0.023955459656289858,0.28182781821887337,0.04636556364377467
0.1,0.002,3.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,6.80949291261135,2.1950959340742244,1.928602912611349,67.765,2.815,6.475,2.440445,0.023981013268672267,0.23961196221800724,0.04653732073933574
0.1,0.001,1.0,inventory_and_uncertainty_aware,1000,200,2.0,brownian,0.01,0.0,0.02,1.0,0.03,50,9.128327852861366,3.2122509384513513,1.9074678528613649,166.475,4.345,9.885,3.61043,0.023948399540874386,0.14632877770235214,0.046328777702352116
