brownian_volatility,observation_noise_std,strategy,inventory_skew,base_spread,num_steps,num_trials,risk_penalty,uncertainty_sensitivity,volatility_window,price_process,random_walk_step_size,brownian_drift,dt,avg_pnl,std_pnl,avg_risk_adjusted_score,avg_total_fills,avg_abs_final_inventory,avg_max_abs_inventory,avg_abs_inventory,avg_abs_observation_error,avg_effective_spread,avg_estimated_uncertainty
0.005,0.03,fixed,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,8.711340325528154,1.7915344788630871,-7.178363674471846,255.112,11.916,18.252,7.944852,0.023934420711544713,0.09999999999999859,0.04222834425328297
0.005,0.03,inventory_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,8.555376077337778,0.8882209216743134,3.0735520773377782,255.864,3.008,8.688,2.740912,0.023957900242583798,0.09999999999999859,0.042272004175048575
0.005,0.03,uncertainty_aware,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,7.149517191915384,1.248869807154641,-2.033158808084615,75.85,6.858,10.238,4.5913379999999995,0.023869913120973037,0.22647496414880824,0.04215832138293608
0.005,0.03,inventory_and_uncertainty_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,7.1289465697313945,0.9587971756378096,2.2333025697313946,75.976,2.696,6.6,2.447822,0.023950478544015052,0.22661842946090746,0.042206143153635814
0.01,0.03,fixed,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,8.78049013245943,3.5022379611142234,-8.46101786754057,255.81,12.758,19.348,8.620754000000002,0.023936141789503266,0.09999999999999859,0.04308537705359813
0.01,0.03,inventory_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,8.547251830740636,1.2718065766224431,2.9317238307406366,256.526,2.814,8.91,2.807764,0.023955210176482937,0.09999999999999859,0.04313775311095787
0.01,0.03,uncertainty_aware,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,7.101199437496962,1.9979234597020115,-1.8805605625030384,73.682,6.526,10.008,4.49088,0.023898071073209765,0.22919350173934686,0.043064500579782276
0.01,0.03,inventory_and_uncertainty_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,7.027962160830121,1.327868170044091,1.8928941608301215,74.284,2.72,6.688,2.567534,0.02393339634635568,0.2292348674978661,0.04307828916595536
0.02,0.03,fixed,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,8.614044826504546,7.171241123457122,-7.566507173495453,256.642,12.17,18.636,8.090276,0.023937188884635936,0.09999999999999859,0.046412674291113704
0.02,0.03,inventory_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,8.57661901438805,2.443291346184039,3.010359014388051,256.372,2.936,8.788,2.7831300000000003,0.02396864123855694,0.09999999999999859,0.046439437443810426
0.02,0.03,uncertainty_aware,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,6.5799328901611265,3.7935753407354715,-2.037383109838874,66.64,6.236,9.57,4.308658,0.023924448712726566,0.2392365323349952,0.0464121774449984
0.02,0.03,inventory_and_uncertainty_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,6.3824923939324805,2.2282169500226354,1.5036763939324809,67.318,2.806,6.404,2.439408,0.02394559224240117,0.2389123040170567,0.0463041013390189
0.05,0.03,fixed,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,8.234907308897427,17.902594896652825,-8.529968691102571,255.112,12.156,18.812,8.382438,0.02391433157583717,0.09999999999999859,0.06463655910431917
0.05,0.03,inventory_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,8.954872371012305,5.598702785594751,3.4420243710123053,255.072,2.964,8.702,2.756424,0.023940950371620525,0.09999999999999859,0.06463751865528833
0.05,0.03,uncertainty_aware,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,4.500158442847728,6.84689475099629,-1.9511095571522714,39.57,4.706,7.186,3.225634,0.023972124921110366,0.2934593067317354,0.06448643557724514
0.05,0.03,inventory_and_uncertainty_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,5.0180757673667,4.487721486951896,0.5831397673666993,39.912,2.728,5.47,2.2174679999999998,0.023965230737255323,0.2938656121815074,0.06462187072716914
0.1,0.03,fixed,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,7.386652273790632,33.73178247353745,-9.132987726209368,254.198,12.61,18.792,8.25982,0.023923567867135488,0.09999999999999859,0.1067465418633384
0.1,0.03,inventory_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,9.045264899677315,11.529212292607596,3.5124648996773153,256.328,2.908,8.68,2.7664,0.023939921504021418,0.09999999999999859,0.10675450056946294
0.1,0.03,uncertainty_aware,0.0,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,2.044607486668499,7.442111658496499,-1.6783645133315013,11.778,2.73,3.858,1.8614860000000002,0.023954401923756787,0.4207789570583807,0.10692631901946022
0.1,0.03,inventory_and_uncertainty_aware,0.002,0.1,1000,500,2.0,3.0,50,brownian,0.01,0.0,1.0,2.269266400933242,6.766552507551192,-0.8099255990667579,11.774,2.154,3.338,1.539596,0.023975335019832362,0.4199682626196924,0.10665608753989747
